SIMSM;;http://www.simsm.com.br/;(+5555)32226222;;
Salgado Filho;contato@transportesalgadofilho.com.br;www.transportesalgadofilho.com.br;(+5555)32255115;;
Expresso Medianeira;cac@expressomedianeira.com.br;www.expressomedianeira.com.br;(+5555)33013635;Av. Maurício Sirotski Sobrinho, 277 Bairro Patronato - Santa Maria - RS - Brasil;
Gabardo Transportes;;www.gabardotransportes.com.br;(+5555)3212-3030;Rua Ernesto Becker, n° 18 Cep 97020-140 - Vila Oliveira Santa Maria - Rio Grande do Sul - Brasil;
Expresso Dores;contato@expressodores.com.br;www.expressodores.com.br;(+5555)32234161;;
Santa Catarina;;;(+5555)32217380;;
Lourenci Transportes e Turismo;lourencitransportes@bol.com.br;lourenci-transporte.webnode.com;(+5555)32225593;Av. Nossa Senhora Medianeira 240 Santa Maria 97060-000
Centro Oeste;contato@viacaocentrooeste.com.br;www.viacaocentrooeste.com.br;(+5555)32263131;;
Palma8SM;toniassosm@gmail.com;www.palma8sm.com;55 9924-2263;Rua Amadeu Toniasso, 480/A160, Palma, 97130-000, Santa Maria, RS;
Transporte Rizzati;rizzatti@transportesrizzatti.com.br;http://www.transportesrizzatti.com.br;+ 55 55 3261 1411;Rua Emílio Nagel, 185 - Centro CEP: 97200-000 Restinga Sêca - RS
